,Antibody,Donor,Sample,LibraryNo,Treatment,Index,length TS,conc Qbit,OriginalSeq,Reseq RS1,Reseq RS2,cat-command to combine with reseq FASTQs,merged fastq,fastqcfilepath,percDups,percGC,MioSeqs,total Peaks,IP efficiency,Total Tags
ChIP_CD34_14_3_siCtrl_SA2,SA2,CD34_14,CD34_14_3, 14-11,siCtrl,NEBNext 11,327,2.88,ChIP_CD34_14_3_siCtrl_SA2_S11_R1_001,ChIP_CD34_14_3_siCtrl_SA2_RS1_S26_R1_001,,cat ChIP_CD34_14_3_siCtrl_SA2_RS1_S26_R1_001.fastq.gz ChIP_CD34_14_3_siCtrl_SA2_S11_R1_001.fastq.gz  >  ChIP_CD34_14_3_siCtrl_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_14_3_siCtrl_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_14_3_siCtrl_SA2_fastqc*,9.10%,42%,23.6,50591,9.97%,20945641
ChIP_CD34_14_4_Mock_SA2,SA2,CD34_14,CD34_14_4, 14-12,siCtrl,NEBNext 12,332,2.9,ChIP_CD34_14_4_Mock_SA2_S12_R1_001,ChIP_CD34_14_4_Mock_SA2_RS1_S27_R1_001,,cat ChIP_CD34_14_4_Mock_SA2_RS1_S27_R1_001.fastq.gz ChIP_CD34_14_4_Mock_SA2_S12_R1_001.fastq.gz  >  ChIP_CD34_14_4_Mock_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_14_4_Mock_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_14_4_Mock_SA2_fastqc*,9.50%,41%,29.9,45930,7.06%,26499907
ChIP_CD34_17_3_siCtrl_SA2,SA2,CD34_17,CD34_17_3, 17-34,siCtrl,NEBNext 24,339,1.95,ChIP_CD34_17_3_siCtrl_SA2_S6_R1_001,,,,,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_17_3_siCtrl_SA2_S6_R1_001_fastqc*,10.00%,42%,28,52696,11.01%,24737242
ChIP_CD34_18_4_siCtrl_SA2,SA2,CD34_18,CD34_18_4, 18-50,siCtrl,NEBNext 9,330,0.36,ChIP_CD34_18_4_siCtrl_SA2_S4_R1_001,,,,,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_18_4_siCtrl_SA2_S4_R1_001_fastqc*,16.50%,42%,15.7,26523,6.03%,13744506
ChIP_CD34_21_4_siCtrl_SA2,SA2,CD34_21,CD34_21_4,139,siCtrl,NEBNext 32,311,1.37,ChIP_CD34_21_4_siCtrl_SA2_S32_R1_001,,,,,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_21_4_siCtrl_SA2_S32_R1_001_fastqc*,9.20%,41%,18.7,22105,3.67%,16025087
ChIP_CD34_22_3_siCtrl_SA2,SA2,CD34_22,CD34_22_3,142,siCtrl,NEBNext 35,341,1.92,ChIP_CD34_22_3_siCtrl_SA2_S35_R1_001,,,,,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_22_3_siCtrl_SA2_S35_R1_001_fastqc*,9.60%,42%,21,43987,9.80%,18035230
ChIP_CD34_28_6_siCtrl_SA2,SA2,CD34_28,CD34_28_6,199,siCtrl,NEBNext 47,311,1.75,ChIP_CD34_28_6_siCtrl_SA2_S47_R1_001,ChIP_CD34_28_6_siCtrl_SA2_RS1_S43_R1_001,,cat ChIP_CD34_28_6_siCtrl_SA2_RS1_S43_R1_001.fastq.gz ChIP_CD34_28_6_siCtrl_SA2_S47_R1_001.fastq.gz  >  ChIP_CD34_28_6_siCtrl_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_28_6_siCtrl_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_28_6_siCtrl_SA2_fastqc*,7.40%,41%,18.7,29091,4.85%,16385051
ChIP_CD34_14_1_SA1_2259_4094_SA2,SA2,CD34_14,CD34_14_1, 14-9,SA1_KD,NEBNext 9,334,2.76,ChIP_CD34_14_1_SA1_2259_4094_SA2_S9_R1_001,ChIP_CD34_14_1_SA1_2259_4094_SA2_RS1_S24_R1_001,,cat ChIP_CD34_14_1_SA1_2259_4094_SA2_RS1_S24_R1_001.fastq.gz ChIP_CD34_14_1_SA1_2259_4094_SA2_S9_R1_001.fastq.gz  >  ChIP_CD34_14_1_SA1_2259_4094_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_14_1_SA1_2259_4094_SA2.fastq.gz,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_14_1_SA1_2259_4094_SA2_fastqc*,10.70%,42%,29.7,56415,12.70%,25885624
ChIP_CD34_17_1_SA1_2259_4094_SA2,SA2,CD34_17,CD34_17_1, 17-32,SA1_KD,NEBNext 22,356,3.18,ChIP_CD34_17_1_SA1_2259_4094_SA2_S4_R1_001,,,,,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_17_1_SA1_2259_4094_SA2_S4_R1_001_fastqc*,8.70%,42%,28.6,52357,13.22%,25320080
ChIP_CD34_21_2_SA1_2259_4094_SA2,SA2,CD34_21,CD34_21_2,137,SA1_KD,NEBNext 30,329,1.84,ChIP_CD34_21_2_SA1_2259_4094_SA2_S30_R1_001,,,,,/misc/data/rawData/chromatin/ChIP/CD34/FastQC/ChIP_CD34_21_2_SA1_2259_4094_SA2_S30_R1_001_fastqc*,8.10%,42%,17.4,42691,12.99%,15200226
