Sample	group	donor	transfection	Cells_d0	Cells_d4	expansion	donortreat	CFU	RNAseq	H3K27ac	ATAC	RAD21	CTCF	SA1	SA2	MED12	HiC	PU1
CD34_6_0	CTRL	6	Untreated	1800000	1490000	0.827777777777778	6_Untreated	0	1	0	0	0	0	0	0	0	0	0
CD34_6_1	CTRL	6	Mock	1800000	1550000	0.861111111111111	6_Mock	1	1	0	0	0	0	0	0	0	0	0
CD34_6_2	CTRL	6	Mock	1800000	1330000	0.738888888888889	6_Mock	0	0	0	0	0	0	0	0	0	0	0
CD34_6_3	CTRL	6	CTRL	1800000	2790000	1.55	6_CTRL	1	1	0	0	0	0	0	0	0	0	0
CD34_6_4	CTRL	6	CTRL	1800000	1780000	0.988888888888889	6_CTRL	0	0	0	0	0	0	0	0	0	0	0
CD34_7_0	CTRL	7	Untreated	1200000	2650000	2.20833333333333	7_Untreated	0	0	0	0	0	0	0	0	0	0	0
CD34_7_1	CTRL	7	Mock	1200000	1970000	1.64166666666667	7_Mock	0	0	0	0	0	0	0	0	0	0	0
CD34_7_2	CTRL	7	Mock	1200000	1370000	1.14166666666667	7_Mock	0	1	0	0	0	0	0	0	0	0	0
CD34_7_3	CTRL	7	CTRL	1200000	1150000	0.958333333333333	7_CTRL	0	0	0	0	0	0	0	0	0	0	0
CD34_7_4	CTRL	7	CTRL	1200000	1790000	1.49166666666667	7_CTRL	1	1	0	0	0	0	0	0	0	0	0
CD34_9_2	CTRL	9	Untreated	1200000	3350000	2.79166666666667	9_Untreated	0	1	0	0	0	0	0	0	0	0	0
CD34_9_23	CTRL	9	CTRL	1200000	1537500	1.28125	9_CTRL	0	1	0	0	0	0	0	0	0	0	0
CD34_9_25	CTRL	9	CTRLx2	1200000	950000	0.791666666666667	9_CTRLx2	0	1	0	0	0	0	0	0	0	0	0
CD34_9_26	CTRL	9	Mock	1200000	1425000	1.1875	9_Mock	0	1	0	0	0	0	0	0	0	0	0
CD34_13_1	CTRL	13	Untreated	1200000	3510000	2.925	13_Untreated	0	1	0	0	0	0	0	0	0	0	0
CD34_13_22	CTRL	13	CTRL	1200000	2400000	2	13_CTRL	1	1	0	0	0	0	0	0	0	0	0
CD34_13_23	CTRL	13	CTRLx2	1200000	2050000	1.70833333333333	13_CTRLx2	0	1	0	0	0	0	0	0	0	0	0
CD34_13_24	CTRL	13	Mock	1200000	3000000	2.5	13_Mock	1	1	0	0	0	0	0	0	0	0	0
CD34_14_3	CTRL	14	CTRL	12000000	45937500	3.828125	14_CTRL	1	0	1	1	1	1	1	1	1	1	1
CD34_14_4	CTRL	14	Mock	12000000	47625000	3.96875	14_Mock	1	0	1	1	1	1	1	1	1	0	0
CD34_16_3	CTRL	16	CTRL	12000000	18590000	1.54916666666667	16_CTRL	1	0	0	0	0	0	0	0	0	0	0
CD34_17_3	CTRL	17	CTRL	12000000	25466000	2.12216666666667	17_CTRL	1	0	1	1	1	1	1	1	0	1	0
CD34_18_4	CTRL	18	CTRLx2	18000000	22330000	1.24055555555556	18_CTRLx2	1	0	1	1	1	1	0	1	1	1	0
CD34_19_2	CTRL	19	CTRL	12000000	13566000	1.1305	19_CTRL	1	0	1	1	1	1	0	0	1	0	0
CD34_20_6	CTRL	20	CTRL	18000000	52380000	2.91	20_CTRL	1	0	0	1	0	0	0	0	0	1	0
CD34_20_7	CTRL	20	Mock	18000000	94500000	5.25	20_Mock	1	0	0	1	0	0	0	0	0	0	0
CD34_21_4	CTRL	21	CTRL	12000000	32200000	2.68333333333333	21_CTRL	1	0	1	1	1	1	1	1	1	1	0
CD34_22_3	CTRL	22	CTRL	12000000	63020000	5.25166666666667	22_CTRL	0	0	1	1	1	1	1	1	1	1	1
CD34_24_2	CTRL	24	CTRL	9000000	27540000	3.06	24_CTRL	0	0	1	0	1	1	0	0	1	0	1
CD34_27_4	CTRL	27	CTRL	12000000	35420000	2.95166666666667	27_CTRL	0	0	1	1	1	1	0	0	0	1	0
CD34_28_6	CTRL	28	CTRL	12000000	43470000	3.6225	28_CTRL	0	0	1	1	1	1	1	1	1	1	0
CD34_31_3	CTRL	31	CTRL	12000000	22540000	1.87833333333333	31_CTRL	1	0	0	0	0	0	0	0	0	0	0
CD34_6_11	RAD21KD	6	RAD21_467	1800000	590000	0.327777777777778	6_RAD21_467	1	1	0	0	0	0	0	0	0	0	0
CD34_6_12	RAD21KD	6	RAD21_2031	1800000	330000	0.183333333333333	6_RAD21_2031	1	1	0	0	0	0	0	0	0	0	0
CD34_7_20	RAD21KD	7	RAD21_467	1200000	470000	0.391666666666667	7_RAD21_467	0	0	0	0	0	0	0	0	0	0	0
CD34_9_17	RAD21KD	9	RAD21_467	1200000	1775000	1.47916666666667	9_RAD21_467	0	0	0	0	0	0	0	0	0	0	0
CD34_9_18	RAD21KD	9	RAD21_2031	1200000	337500	0.28125	9_RAD21_2031	0	1	0	0	0	0	0	0	0	0	0
CD34_9_19	RAD21KD	9	RAD21_pool	1200000	475000	0.395833333333333	9_RAD21_pool	0	1	0	0	0	0	0	0	0	0	0
CD34_13_16	RAD21KD	13	RAD21_467	1200000	1492500	1.24375	13_RAD21_467	0	1	0	0	0	0	0	0	0	0	0
CD34_13_17	RAD21KD	13	RAD21_2031	1200000	727500	0.60625	13_RAD21_2031	0	1	0	0	0	0	0	0	0	0	0
CD34_13_18	RAD21KD	13	RAD21_pool	1200000	945000	0.7875	13_RAD21_pool	1	1	0	0	0	0	0	0	0	0	0
CD34_18_1	RAD21KD	18	RAD21_pool	18000000	14525000	0.806944444444444	18_RAD21_pool	1	0	1	1	1	1	0	0	0	1	0
CD34_20_1	RAD21KD	20	RAD21_pool	18000000	20340000	1.13	20_RAD21_pool	1	0	0	1	0	0	0	0	0	1	0
CD34_21_1	RAD21KD	21	RAD21_pool	18000000	19687500	1.09375	21_RAD21_pool	1	0	0	0	0	0	0	0	0	0	0
CD34_22_1	RAD21KD	22	RAD21_pool	18000000	28087500	1.56041666666667	22_RAD21_pool	0	0	1	1	1	1	0	0	1	1	0
CD34_27_1	RAD21KD	27	RAD21_pool	18000000	13770000	0.765	27_RAD21_pool	0	0	1	1	1	1	0	0	1	1	0
CD34_28_1	RAD21KD	28	RAD21_pool	18000000	19380000	1.07666666666667	28_RAD21_pool	0	0	1	1	1	1	0	0	1	1	0
CD34_31_1	RAD21KD	31	RAD21_pool	18000000	18096000	1.00533333333333	31_RAD21_pool	1	0	0	0	0	0	0	0	0	0	0
CD34_6_5	STAG1KD	6	SA1_2259	1800000	1950000	1.08333333333333	6_SA1_2259	1	1	0	0	0	0	0	0	0	0	0
CD34_6_6	STAG1KD	6	SA1_4094	1800000	1990000	1.10555555555556	6_SA1_4094	1	1	0	0	0	0	0	0	0	0	0
CD34_9_3	STAG1KD	9	SA1_2259	1200000	2175000	1.8125	9_SA1_2259	0	1	0	0	0	0	0	0	0	0	0
CD34_9_4	STAG1KD	9	SA1_4094	1200000	1500000	1.25	9_SA1_4094	0	1	0	0	0	0	0	0	0	0	0
