Sample,donor,group,transfection,d4 living,d4 dead,target 1 %Protein expr.,target 2 %Protein expr.,CFU-E,CFU-GM,CFU-GEMM,CFU-total
CD34_6_3,6,CTRL,CTRL,2790000,1100000,100,100,53,60,36,149
CD34_6_4,6,CTRL,CTRL,1780000,760000,100,100,,,,
CD34_7_3,7,CTRL,CTRL,1150000,500000,100,100,,,,
CD34_7_4,7,CTRL,CTRL,1790000,1240000,100,100,55,34.5,17,57
CD34_9_23,9,CTRL,CTRL,1537500,725000,100,100,,,,
CD34_9_25,9,CTRL,CTRLx2,950000,475000,100,100,,,,
CD34_13_22,13,CTRL,CTRL,2400000,750000,100,100,35,55,2,92
CD34_13_23,13,CTRL,CTRLx2,2050000,350000,100,100,,,,
CD34_14_3,14,CTRL,CTRL,,,100,100,60,74,29,163
CD34_16_3,16,CTRL,CTRL,,,100,100,25,55,2,82
CD34_17_3,17,CTRL,CTRL,,,100,100,32,90,6,127
CD34_18_4,18,CTRL,CTRLx2,,,100,100,39,41,5,84
CD34_19_2,19,CTRL,CTRL,,,100,100,21,41,4,66
CD34_20_6,20,CTRL,CTRL,,,100,100,25,94,29,148
CD34_21_6,21,CTRL,CTRL,,,100,100,19,75,21,114
CD34_22_7,22,CTRL,CTRL,,,100,100,45,53,47,145
CD34_31_3,31,CTRL,CTRL,,,100,100,41,59,11,110
CD34_6_0,6,CTRL,Untreated_d4,1490000,750000,,,,,,
CD34_7_0,7,CTRL,Untreated_d4,2650000,1160000,,,,,,
CD34_9_2,9,CTRL,Untreated_d4,3350000,962500,,,,,,
CD34_13_1,13,CTRL,Untreated_d4,3510000,787500,,,,,,
CD34_6_1,6,CTRL,Mock,1550000,500000,,,23,49.5,19.5,92
CD34_6_2,6,CTRL,Mock,1330000,310000,,,,,,
CD34_7_1,7,CTRL,Mock,1970000,910000,,,,,,
CD34_7_2,7,CTRL,Mock,1370000,500000,,,,,,
CD34_9_26,9,CTRL,Mock,1425000,791667,,,,,,
CD34_13_24,13,CTRL,Mock,3000000,475000,,,26,63,4,93
CD34_14_4,14,CTRL,Mock,,,,,75,73,14,162
CD34_20_7,20,CTRL,Mock,,,,,62,114,29.5,205.5
CD34_6_11,6,RAD21KD,Rad21_467,590000,590000,,,11,7.5,3,21.5
CD34_6_12,6,RAD21KD,RAD21_2031,330000,1070000,,,3,2.5,0,5.5
CD34_7_20,7,RAD21KD,Rad21_467,470000,650000,,,,,,
CD34_9_19,9,RAD21KD,RAD21 pool,475000,475000,,,,,,
CD34_9_18,9,RAD21KD,RAD21_2031,337500,1000000,,,,,,
CD34_13_18,13,RAD21KD,RAD21 pool,945000,840000,,,5,16,0,21
