,group_detail,group,d0,d4_living,d4_dead,donor
CD34_6_0,Untreated,CTRL,1800000,1490000,750000,6
CD34_6_1,Mock,CTRL,1800000,1550000,500000,6
CD34_6_2,Mock,CTRL,1800000,1330000,310000,6
CD34_6_3,CTRL,CTRL,1800000,2790000,1100000,6
CD34_6_4,CTRL,CTRL,1800000,1780000,760000,6
CD34_7_0,Untreated,CTRL,1200000,2650000,1160000,7
CD34_7_1,Mock,CTRL,1200000,1970000,910000,7
CD34_7_2,Mock,CTRL,1200000,1370000,500000,7
CD34_7_3,CTRL,CTRL,1200000,1150000,500000,7
CD34_7_4,CTRL,CTRL,1200000,1790000,1240000,7
CD34_9_2,Untreated,CTRL,1200000,3350000,962500,9
CD34_9_23,CTRL,CTRL,1200000,1537500,725000,9
CD34_9_25,CTRLx2,CTRL,1200000,950000,475000,9
CD34_9_26,Mock,CTRL,1200000,1425000,791667,9
CD34_13_1,Untreated,CTRL,1200000,3510000,787500,13
CD34_13_22,CTRL,CTRL,1200000,2400000,750000,13
CD34_13_23,CTRLx2,CTRL,1200000,2050000,350000,13
CD34_13_24,Mock,CTRL,1200000,3000000,475000,13
CD34_14_3,CTRL,CTRL,12000000,45937500,9750000,14
CD34_14_4,Mock,CTRL,12000000,47625000,8812500,14
CD34_16_3,CTRL,CTRL,12000000,18590000,3150500,16
CD34_17_3,CTRL,CTRL,12000000,25466000,5355000,17
CD34_18_4,CTRLx2,CTRL,18000000,22330000,7087500,18
CD34_19_2,CTRL,CTRL,12000000,13566000,2677500,19
CD34_20_6,CTRL,CTRL,18000000,52380000,9750000,20
CD34_20_7,Mock,CTRL,18000000,94500000,10875000,20
CD34_21_4,CTRL,CTRL,12000000,32200000,6000000,21
CD34_22_3,CTRL,CTRL,12000000,63020000,12000000,22
CD34_24_2,CTRL,CTRL,9000000,27540000,13000000,24
CD34_27_4,CTRL,CTRL,12000000,35420000,10000000,27
CD34_28_6,CTRL,CTRL,12000000,43470000,16500000,28
CD34_31_3,CTRL,CTRL,12000000,22540000,5060000,31
CD34_6_11,RAD21-1 (RAD21_467),RAD21KD,1800000,590000,590000,6
CD34_6_12,RAD21-2 (RAD21_2031),RAD21KD,1800000,330000,1070000,6
CD34_7_20,RAD21_467,RAD21KD,1200000,470000,650000,7
CD34_9_17,RAD21_467,RAD21KD,1200000,1775000,887500,9
CD34_9_18,RAD21_2031,RAD21KD,1200000,337500,1000000,9
CD34_9_19,RAD21 pool,RAD21KD,1200000,475000,475000,9
CD34_13_16,RAD21_467,RAD21KD,1200000,1492500,1050000,13
CD34_13_17,RAD21_2031,RAD21KD,1200000,727500,750000,13
CD34_13_18,RAD21 pool,RAD21KD,1200000,945000,840000,13
CD34_18_1,RAD21 pool,RAD21KD,18000000,14525000,15400000,18
CD34_20_1,RAD21 pool,RAD21KD,18000000,20340000,9625000,20
CD34_21_1,RAD21 pool,RAD21KD,18000000,19687500,10312500,21
CD34_22_1,RAD21 pool,RAD21KD,18000000,28087500,18937500,22
CD34_27_1,RAD21 pool,RAD21KD,18000000,13770000,7625000,27
CD34_28_1,RAD21 pool,RAD21KD,18000000,19380000,9500000,28
CD34_31_1,RAD21 pool,RAD21KD,18000000,18096000,9048000,31
CD34_6_5,SA1_2259,STAG1KD,1800000,1950000,1950000,6
CD34_6_6,SA1_4094,STAG1KD,1800000,1990000,980149,6
CD34_9_3,SA1_2259,STAG1KD,1200000,2175000,600000,9
CD34_9_4,SA1_4094,STAG1KD,1200000,1500000,600000,9
CD34_9_5,SA1_pool,STAG1KD,1200000,1925000,550000,9
CD34_13_2,SA1_2259,STAG1KD,1200000,2722500,750000,13
CD34_13_3,SA1_4094,STAG1KD,1200000,2145000,742500,13
CD34_13_4,SA1_pool,STAG1KD,1200000,2700000,750000,13
CD34_14_1,SA1_pool,STAG1KD,12000000,47750000,6750000,14
CD34_16_1,SA1_pool,STAG1KD,12000000,17400000,1074000,16
CD34_17_1,SA1_pool,STAG1KD,12000000,35938000,4046000,17
CD34_20_4,SA1_pool,STAG1KD,12000000,62160000,11500000,20
CD34_21_2,SA1_pool,STAG1KD,12000000,50140000,6500000,21
CD34_27_3,SA1_pool,STAG1KD,12000000,25760000,9500000,27
CD34_28_4,SA1_pool,STAG1KD,12000000,19320000,11250000,28
CD34_6_9,SA1_2259_SA2_1252,STAG1_2KD,1800000,2050000,512500,6
CD34_7_11,SA1_2259_SA2_529,STAG1_2KD,1200000,1000000,740000,7
CD34_7_16,SA1_4094_SA2_529,STAG1_2KD,1200000,300000,310000,7
CD34_7_13,SA1_2259_SA2_1252,STAG1_2KD,1200000,760000,720000,7
CD34_7_18,SA1_4094_SA2_1252,STAG1_2KD,1200000,680000,470000,7
CD34_9_10,SA1_2259_SA2_529,STAG1_2KD,1200000,1182500,673750,9
CD34_9_12,SA1_2259_SA2_1252,STAG1_2KD,1200000,880000,398750,9
CD34_9_13,SA1_4094_SA2_529,STAG1_2KD,1200000,1155000,412500,9
CD34_9_15,SA1_4094_SA2_1252,STAG1_2KD,1200000,987500,687500,9
CD34_9_16,SA1_SA2_pool,STAG1_2KD,1200000,1425000,412500,9
CD34_13_11,SA1_2259_SA2_1252,STAG1_2KD,1200000,3142500,975000,13
CD34_13_12,SA1_4094_SA2_529,STAG1_2KD,1200000,2205000,802500,13
CD34_13_14,SA1_4094_SA2_1252,STAG1_2KD,1200000,2340000,427500,13
CD34_13_15,SA1_SA2_pool,STAG1_2KD,1200000,2355000,810000,13
CD34_13_9,SA1_2259_SA2_529,STAG1_2KD,1200000,1552500,885000,13
CD34_18_2,SA1_SA2_pool,STAG1_2KD,18000000,22897500,11557500,18
CD34_20_2,SA1_SA2_pool,STAG1_2KD,18000000,41940000,8375000,20
CD34_28_2,SA1_SA2_pool,STAG1_2KD,18000000,22100000,9750000,28
CD34_6_8,SA2_1252,STAG2KD,1800000,1880000,626667,6
CD34_7_6,SA2_529,STAG2KD,1200000,2330000,1370000,7
CD34_7_8,SA2_1252,STAG2KD,1200000,1610000,700000,7
CD34_9_6,SA2_529,STAG2KD,1200000,1650000,600000,9
CD34_9_8,SA2_1252,STAG2KD,1200000,1155000,495000,9
CD34_9_9,SA2_pool,STAG2KD,1200000,701250,440000,9
CD34_13_5,SA2_529,STAG2KD,1200000,2865000,990000,13
CD34_13_7,SA2_1252,STAG2KD,1200000,2760000,690000,13
CD34_13_8,SA2_pool,STAG2KD,1200000,2790000,757500,13
CD34_14_2,SA2_pool,STAG2KD,12000000,37125000,7250000,14
CD34_16_2,SA2_pool,STAG2KD,12000000,19800000,1291000,16
CD34_17_2,SA2_pool,STAG2KD,12000000,19824000,3894000,17
CD34_20_5,SA2_pool,STAG2KD,12000000,49680000,10250000,20
CD34_21_3,SA2_pool,STAG2KD,12000000,24380000,6750000,21
CD34_22_2,SA2_pool,STAG2KD,12000000,46920000,16500000,22
CD34_28_5,SA2_pool,STAG2KD,12000000,18860000,10000000,28
CD34_31_2,SA2_pool,STAG2KD,18000000,40946000,7981000,31
CD34_9_20,MED12_3408,MED12KD,1200000,775000,612500,9
CD34_9_21,MED12_4356,MED12KD,1200000,975000,562500,9
CD34_9_22,MED12_pool,MED12KD,1200000,862500,650000,9
CD34_13_19,MED12_3408,MED12KD,1200000,1372500,472500,13
CD34_13_20,MED12_4356,MED12KD,1200000,1597500,975000,13
CD34_13_21,MED12_pool,MED12KD,1200000,1935000,847500,13
CD34_18_3,MED12_pool,MED12KD,18000000,20184000,9918000,18
CD34_20_3,MED12_pool,MED12KD,18000000,65700000,7000000,20
CD34_24_1,MED12_pool,MED12KD,9000000,16320000,9000000,24
CD34_27_2,MED12_pool,MED12KD,12000000,21850000,13250000,27
CD34_28_3,MED12_pool,MED12KD,12000000,24150000,8750000,28
