,Donor,Sample,treatment,plotID,percDups,percGC,percSeqs,FASTQ_R1,FASTQ_R2,filtered.25x100kb.PC1.bedGraph,filtered.50x1000kb.PC1.bedGraph,filtered.25x50kb.PC1.bedGraph,filtered.250x500kb.PC1.bedGraph,total tags,localInteractionFraction,interChrInteractionFraction,tagsPerBP,tagdir_filtered,total tags filtered,localInteractionFraction filt,interChrInteractionFraction filt,tagsPerBP filt,%tags_afterfiltering
HiC_CD34_14_3_siCtrl,14,CD34_14_3,siCtrl,14_siCtrl,28.60%,43%,256.5,HiC_CD34_14_3_siCtrl_R1.fastq.zip,HiC_CD34_14_3_siCtrl_R2.fastqc.zip,HiC_CD34_14_3_siCtrl_filtered/HiC_CD34_14_3_siCtrl_filtered.25x100kb.PC1.bedGraph,HiC_CD34_14_3_siCtrl_filtered/HiC_CD34_14_3_siCtrl_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_14_3_siCtrl_filtered/HiC_CD34_14_3_siCtrl_filtered.25x50kb.PC1.bedGraph,HiC_CD34_14_3_siCtrl_filtered/HiC_CD34_14_3_siCtrl_filtered.250x500kb.PC1.bedGraph,254915491,0.049411,0.148937,0.115203,HiC_CD34_14_3_siCtrl_filtered,202146987,0,0.147728,0.127458,79%
HiC_CD34_17_3_siCtrl,17,CD34_17_3,siCtrl,17_siCtrl,28.20%,43%,238.2,HiC_CD34_17_3_siCtrl_R1.fastq.zip,HiC_CD34_17_3_siCtrl_R2.fastqc.zip,HiC_CD34_17_3_siCtrl_filtered/HiC_CD34_17_3_siCtrl_filtered.25x100kb.PC1.bedGraph,HiC_CD34_17_3_siCtrl_filtered/HiC_CD34_17_3_siCtrl_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_17_3_siCtrl_filtered/HiC_CD34_17_3_siCtrl_filtered.25x50kb.PC1.bedGraph,HiC_CD34_17_3_siCtrl_filtered/HiC_CD34_17_3_siCtrl_filtered.250x500kb.PC1.bedGraph,239625987,0.031137,0.197147,0.107796,HiC_CD34_17_3_siCtrl_filtered,202192936,0,0.194717,0.119813,84%
HiC_CD34_18_4_siCtrl,18,CD34_18_4,siCtrl,18_siCtrl,27.20%,43%,239.1,HiC_CD34_18_4_siCtrl_R1.fastq.zip,HiC_CD34_18_4_siCtrl_R2.fastqc.zip,HiC_CD34_18_4_siCtrl_filtered/HiC_CD34_18_4_siCtrl_filtered.25x100kb.PC1.bedGraph,HiC_CD34_18_4_siCtrl_filtered/HiC_CD34_18_4_siCtrl_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_18_4_siCtrl_filtered/HiC_CD34_18_4_siCtrl_filtered.25x50kb.PC1.bedGraph,HiC_CD34_18_4_siCtrl_filtered/HiC_CD34_18_4_siCtrl_filtered.250x500kb.PC1.bedGraph,239889704,0.039715,0.201313,0.105926,HiC_CD34_18_4_siCtrl_filtered,192241469,0,0.196789,0.119945,80%
HiC_CD34_20_6_siCtrl_Rep1,20,CD34_20_6,siCtrl,20_siCtrl,28.00%,43%,239.3,HiC_CD34_20_6_siCtrl_Rep1_R1.fastq.zip,HiC_CD34_20_6_siCtrl_Rep1_R2.fastqc.zip,HiC_CD34_20_6_siCtrl_Rep1_filtered/HiC_CD34_20_6_siCtrl_Rep1_filtered.25x100kb.PC1.bedGraph,HiC_CD34_20_6_siCtrl_Rep1_filtered/HiC_CD34_20_6_siCtrl_Rep1_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_20_6_siCtrl_Rep1_filtered/HiC_CD34_20_6_siCtrl_Rep1_filtered.25x50kb.PC1.bedGraph,HiC_CD34_20_6_siCtrl_Rep1_filtered/HiC_CD34_20_6_siCtrl_Rep1_filtered.250x500kb.PC1.bedGraph,245701150,0.026917,0.183755,0.106507,HiC_CD34_20_6_siCtrl_Rep1_filtered,199095615,0,0.183097,0.122851,81%
HiC_CD34_21_4_siCtrl_Rep1,21,CD34_21_4,siCtrl,21_siCtrl,27.40%,44%,219.4,HiC_CD34_21_4_siCtrl_Rep1_R1.fastq.zip,HiC_CD34_21_4_siCtrl_Rep1_R2.fastqc.zip,HiC_CD34_21_4_siCtrl_Rep1_filtered/HiC_CD34_21_4_siCtrl_Rep1_filtered.25x100kb.PC1.bedGraph,HiC_CD34_21_4_siCtrl_Rep1_filtered/HiC_CD34_21_4_siCtrl_Rep1_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_21_4_siCtrl_Rep1_filtered/HiC_CD34_21_4_siCtrl_Rep1_filtered.25x50kb.PC1.bedGraph,HiC_CD34_21_4_siCtrl_Rep1_filtered/HiC_CD34_21_4_siCtrl_Rep1_filtered.250x500kb.PC1.bedGraph,225977209,0.024184,0.213724,0.097778,HiC_CD34_21_4_siCtrl_Rep1_filtered,182696832,0,0.21213,0.112989,81%
HiC_CD34_22_3_siCtrl,22,CD34_22_3,siCtrl,22_siCtrl,27.20%,44%,236.3,HiC_CD34_22_3_siCtrl_R1.fastq.zip,HiC_CD34_22_3_siCtrl_R2.fastqc.zip,HiC_CD34_22_3_siCtrl_filtered/HiC_CD34_22_3_siCtrl_filtered.25x100kb.PC1.bedGraph,HiC_CD34_22_3_siCtrl_filtered/HiC_CD34_22_3_siCtrl_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_22_3_siCtrl_filtered/HiC_CD34_22_3_siCtrl_filtered.25x50kb.PC1.bedGraph,HiC_CD34_22_3_siCtrl_filtered/HiC_CD34_22_3_siCtrl_filtered.250x500kb.PC1.bedGraph,243124620,0.0646,0.181072,0.105709,HiC_CD34_22_3_siCtrl_filtered,191060390,0,0.192303,0.121562,79%
HiC_CD34_27_4_siCtrl,27,CD34_27_4,siCtrl,27_siCtrl,27.40%,43%,228.4,HiC_CD34_27_4_siCtrl_R1.fastq.zip,HiC_CD34_27_4_siCtrl_R2.fastqc.zip,HiC_CD34_27_4_siCtrl_filtered/HiC_CD34_27_4_siCtrl_filtered.25x100kb.PC1.bedGraph,HiC_CD34_27_4_siCtrl_filtered/HiC_CD34_27_4_siCtrl_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_27_4_siCtrl_filtered/HiC_CD34_27_4_siCtrl_filtered.25x50kb.PC1.bedGraph,HiC_CD34_27_4_siCtrl_filtered/HiC_CD34_27_4_siCtrl_filtered.250x500kb.PC1.bedGraph,230704120,0.072336,0.23608,0.10181,HiC_CD34_27_4_siCtrl_filtered,178886761,0,0.248305,0.115352,78%
HiC_CD34_28_6_siCtrl,28,CD34_28_6,siCtrl,28_siCtrl,26.10%,43%,206.9,HiC_CD34_28_6_siCtrl_R1.fastq.zip,HiC_CD34_28_6_siCtrl_R2.fastqc.zip,HiC_CD34_28_6_siCtrl_filtered/HiC_CD34_28_6_siCtrl_filtered.25x100kb.PC1.bedGraph,HiC_CD34_28_6_siCtrl_filtered/HiC_CD34_28_6_siCtrl_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_28_6_siCtrl_filtered/HiC_CD34_28_6_siCtrl_filtered.25x50kb.PC1.bedGraph,HiC_CD34_28_6_siCtrl_filtered/HiC_CD34_28_6_siCtrl_filtered.250x500kb.PC1.bedGraph,212700676,0.073995,0.215396,0.092265,HiC_CD34_28_6_siCtrl_filtered,156537085,0,0.229023,0.10635,74%
HiC_CD34_14_1_SA1_KD,14,CD34_14_1,SA1_KD,14_SA1_KD,27.60%,43%,251.3,HiC_CD34_14_1_SA1_KD_R1.fastq.zip,HiC_CD34_14_1_SA1_KD_R2.fastqc.zip,HiC_CD34_14_1_SA1_KD_filtered/HiC_CD34_14_1_SA1_KD_filtered.25x100kb.PC1.bedGraph,HiC_CD34_14_1_SA1_KD_filtered/HiC_CD34_14_1_SA1_KD_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_14_1_SA1_KD_filtered/HiC_CD34_14_1_SA1_KD_filtered.25x50kb.PC1.bedGraph,HiC_CD34_14_1_SA1_KD_filtered/HiC_CD34_14_1_SA1_KD_filtered.250x500kb.PC1.bedGraph,254516477,0.045301,0.149115,0.112117,HiC_CD34_14_1_SA1_KD_filtered,201119983,0,0.149013,0.127258,79%
HiC_CD34_17_1_SA1_KD,17,CD34_17_1,SA1_KD,17_SA1_KD,29.00%,43%,252.1,HiC_CD34_17_1_SA1_KD_R1.fastq.zip,HiC_CD34_17_1_SA1_KD_R2.fastqc.zip,HiC_CD34_17_1_SA1_KD_filtered/HiC_CD34_17_1_SA1_KD_filtered.25x100kb.PC1.bedGraph,HiC_CD34_17_1_SA1_KD_filtered/HiC_CD34_17_1_SA1_KD_filtered.50x1000kb.PC1.bedGraph,HiC_CD34_17_1_SA1_KD_filtered/HiC_CD34_17_1_SA1_KD_filtered.25x50kb.PC1.bedGraph,HiC_CD34_17_1_SA1_KD_filtered/HiC_CD34_17_1_SA1_KD_filtered.250x500kb.PC1.bedGraph,249331914,0.028748,0.193416,0.113019,HiC_CD34_17_1_SA1_KD_filtered,200129611,0,0.190539,0.124666,80%
