Sample,Donor,group,totaltagcount,totalfiltcontacts
14_siCtrl,d14,CTRL,202146987,101073493.5
17_siCtrl,d17,CTRL,202192936,101096468
18_siCtrl,d18,CTRL,192241469,96120734.5
20_siCtrl,d20,CTRL,199095615,99547807.5
21_siCtrl,d21,CTRL,182696832,91348416
22_siCtrl,d22,CTRL,191060390,95530195
27_siCtrl,d27,CTRL,178886761,89443380.5
28_siCtrl,d28,CTRL,156537085,78268542.5
14_SA1,d14,SA1KD,201119983,100559991.5
17_SA1,d17,SA1KD,200129611,100064805.5
20_SA1,d20,SA1KD,188959179,94479589.5
21_SA1,d21,SA1KD,212252612,106126306
27_SA1,d27,SA1KD,178623127,89311563.5
28_SA1,d28,SA1KD,175695941,87847970.5
14_SA2,d14,SA2KD,193302098,96651049
17_SA2,d17,SA2KD,195227584,97613792
20_SA2,d20,SA2KD,195146479,97573239.5
21_SA2,d21,SA2KD,189697003,94848501.5
22_SA2,d22,SA2KD,187915740,93957870
28_SA2,d28,SA2KD,153449352,76724676
18_RAD21,d18,RAD21,169552024,84776012
20_RAD21,d20,RAD21,176612669,88306334.5
22_RAD21,d22,RAD21,200780623,100390311.5
27_RAD21,d27,RAD21,155941752,77970876
28_RAD21,d28,RAD21,177823146,88911573
