Sample,Donor,group,totaltagcount,totalfiltcontacts
14_siCtrl,d14,CTRL,202146987,101073493.5
17_siCtrl,d17,CTRL,202192936,101096468
18_siCtrl,d18,CTRL,192241469,96120734.5
20_siCtrl,d20,CTRL,199095615,99547807.5
21_siCtrl,d21,CTRL,182696832,91348416
22_siCtrl,d22,CTRL,191060390,95530195
27_siCtrl,d27,CTRL,178886761,89443380.5
28_siCtrl,d28,CTRL,156537085,78268542.5
18_RAD21,d18,RAD21,169552024,84776012
20_RAD21,d20,RAD21,176612669,88306334.5
22_RAD21,d22,RAD21,200780623,100390311.5
27_RAD21,d27,RAD21,155941752,77970876
28_RAD21,d28,RAD21,177823146,88911573
