Sample_ID	donor	prep_batch	timepoint	siRNA_target	siRNA1	siRNA2	siRNA12	PercDup	PercGC	TotalSeq	PercUniquelyMapped	PercMultiMapped	PercUnmapped	RawData
RNA_CD34_d4_0_untreated_AFMN1	6	1	4	CTRL	Untr		Untr	55.3884023499997	49	35545488	89	9.83	1.1	RNA_CD34_d4_0_untreated_AFMN1_S12_R1_001.fastq.gz
RNA_CD34_d4_1_Mock_AFMN1	6	1	4	CTRL	Mock		Mock	50.5982942334279	49	26899695	89.43	8.82	1.66	RNA_CD34_d4_1_Mock_AFMN1_S13_R1_001.fastq.gz
RNA_CD34_d4_3_siCtrl_AFMN1	6	1	4	CTRL	siLuc		siLuc	58.175735628341	48	37469928	89.68	9.01	1.26	RNA_CD34_d4_3_siCtrl_AFMN1_S14_R1_001.fastq.gz
RNA_CD34_d4_8_SA2_2_AFMN1	6	1	4	SA2	SA2_1252		SA2_1252	56.7427905730301	48	31708974	89.78	8.89	1.28	RNA_CD34_d4_8_SA2_2_AFMN1_S18_R1_001.fastq.gz
RNA_CD34_d4_5_SA1_1_AFMN1	6	1	4	SA1	SA1_2259		SA1_2259	55.7230900153511	49	31295361	89.52	9.1	1.32	RNA_CD34_d4_5_SA1_1_AFMN1_S15_R1_001.fastq.gz
RNA_CD34_d4_6_SA1_2_AFMN1	6	1	4	SA1	SA1_4094		SA1_4094	57.5032234307684	48	35824450	89.41	9.37	1.17	RNA_CD34_d4_6_SA1_2_AFMN1_S16_R1_001.fastq.gz
RNA_CD34_d4_11_RAD21_1_AFMN1	6	1	4	RAD21	RAD21_467		RAD21_467	54.8903820509137	48	27945122	90.04	8.78	1.13	RNA_CD34_d4_11_RAD21_1_AFMN1_S21_R1_001.fastq.gz
RNA_CD34_d4_12_RAD21_2_AFMN1	6	1	4	RAD21	RAD21_2031		RAD21_2031	57.2249315431901	49	37854653	89.47	9.55	0.91	RNA_CD34_d4_12_RAD21_2_AFMN1_S22_R1_001.fastq.gz
RNA_CD34_d4_9_C1_AFMN1	6	1	4	SA1_SA2	SA1_2259	SA2_1252	SA1_2259_SA2_1252	63.6044608040862	48	49732749	89.83	9.13	1	RNA_CD34_d4_9_C1_AFMN1_S19_R1_001.fastq.gz
RNA_CD34_d4_2_Mock_AFMN2	7	2	4	CTRL	Mock		Mock	58.9632598692054	51	22658091	87.69	11.54	0.72	RNA_CD34_d4_2_Mock_AFMN2_S18_R1_001.fastq.gz
RNA_CD34_d4_4_siCtrl_AFMN2	7	2	4	CTRL	siLuc		siLuc	58.3368987957675	50	22986957	88.35	11.1	0.5	RNA_CD34_d4_4_siCtrl_AFMN2_S19_R1_001.fastq.gz
RNA_CD34_d4_8_SA2_1252_AFMN2	7	2	4	SA2	SA2_1252		SA2_1252	58.65611497739	49	24747891	88.97	10.4	0.57	RNA_CD34_d4_8_SA2_1252_AFMN2_S23_R1_001.fastq.gz
RNA_CD34_9_d4_2_untreated_AFMN3	9	3	4	CTRL	Untr		Untr	55.9037930791682	49	28247866	90.41	8.53	1	RNA_CD34_9_d4_2_untreated_AFMN3_S1_R1_001.fastq.gz
RNA_CD34_9_d4_3_SA1_2259_AFMN3	9	3	4	SA1	SA1_2259		SA1_2259	55.3508205911851	50	19706934	87.8	9.92	1.93	RNA_CD34_9_d4_3_SA1_2259_AFMN3_S2_R1_001.fastq.gz
